Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Drew Smith,NYM,30,10,0,0,0,10.0,10,3,11,7,0,1,0,1,0,3,2.70,1.70
Darius Vines,ATL,26,2,2,0,0,9.2,11,5,6,3,2,0,1,0,0,0,4.66,1.45
Ron Marinaccio,NYY,28,7,0,0,0,9.2,3,2,8,3,1,1,0,0,1,1,1.86,0.62
Jared Shuster,CWS,25,3,0,0,0,9.2,6,1,6,3,0,0,0,0,0,0,0.93,0.93
Kenley Jansen,BOS,36,10,0,0,0,9.2,4,2,14,8,0,1,0,5,1,0,1.86,1.24
Gregory Soto,PHI,29,12,0,0,0,9.2,13,7,11,6,0,0,0,2,0,3,6.52,1.97
Jared Koenig,MIL,30,6,0,0,0,9.2,9,1,5,2,0,2,0,0,0,0,0.93,1.14
Cam Booser,BOS,32,7,0,0,0,9.1,8,4,11,3,2,0,1,0,0,0,3.86,1.18
Colin Poche,TB,30,10,0,0,0,9.1,12,7,6,3,3,0,1,2,2,4,6.75,1.61
Giovanny Gallegos,STL,32,12,0,0,0,9.0,11,9,13,7,4,2,0,1,0,2,9.00,2.00
Luke Little,CHC,23,10,1,0,0,9.0,8,7,8,7,1,0,0,0,0,2,7.00,1.67
Daniel Palencia,CHC,24,5,0,0,0,9.0,7,5,9,7,0,0,1,1,0,0,5.00,1.56
Spencer Strider,ATL,25,2,2,0,0,9.0,10,7,12,5,2,0,0,0,0,0,7.00,1.67
Jorge Alcala,MIN,28,7,0,0,0,9.0,5,0,9,4,0,1,0,0,0,2,0.00,1.00
Colin Holderman,PIT,28,10,0,0,0,8.2,5,1,10,3,1,0,0,0,0,3,1.04,0.92
Miguel Castro,ARI,29,8,0,0,0,8.2,12,5,6,1,1,0,0,0,0,1,5.19,1.50
Tyson Miller,SEA,28,7,0,0,0,8.2,5,2,11,1,1,0,0,0,0,0,2.08,0.69
Colten Brewer,CHC,31,5,0,0,0,8.2,7,4,8,3,1,0,0,0,0,0,4.15,1.15
Carlos Estevez,LAA,31,9,0,0,0,8.2,9,6,10,0,2,0,1,5,2,0,6.23,1.04
Eli Morgan,CLE,27,9,0,0,0,8.1,6,2,7,4,0,1,0,0,0,1,2.16,1.20
Robert Garcia,WSH,27,11,0,0,0,8.1,12,6,13,4,1,0,1,0,1,3,6.48,1.92
Josiah Gray,WSH,26,2,2,0,0,8.1,15,13,9,5,2,0,2,0,0,0,14.04,2.40
Justin Martinez,ARI,22,6,0,0,0,8.0,5,1,9,6,0,0,0,0,0,0,1.13,1.38
Chase Silseth,LAA,23,2,2,0,0,8.0,8,6,12,4,3,0,1,0,0,0,6.75,1.50
Nick Nastrini,CWS,24,2,2,0,0,8.0,9,7,8,7,1,0,2,0,0,0,7.88,2.00
Sean Hjelle,SF,26,4,0,0,0,8.0,5,3,7,1,2,0,1,0,0,0,3.38,0.75
John Brebbia,CWS,33,10,0,0,0,8.0,9,4,9,2,1,0,1,0,0,2,4.50,1.38
Pedro Avila,SD,27,4,0,0,0,8.0,5,8,9,6,1,1,0,0,0,0,9.00,1.38
Trevor Megill,MIL,30,7,0,0,0,7.2,4,1,7,3,0,0,0,2,0,3,1.17,0.91
Matt Bowman,MIN,32,5,0,0,0,7.2,2,2,6,4,1,0,0,0,0,3,2.35,0.78
Chad Green,TOR,32,7,0,0,0,7.2,6,2,7,2,2,1,0,2,0,2,2.35,1.04
Erasmo Ramirez,TB,34,4,0,0,0,7.2,8,6,7,3,2,0,0,0,0,0,7.04,1.43
Nick Avila,SF,26,6,0,0,0,7.2,11,6,7,2,1,0,0,0,0,0,7.04,1.70
Orion Kerkering,PHI,23,7,0,0,0,7.2,5,1,6,3,0,0,0,0,1,2,1.17,1.04
Shawn Dubin,HOU,28,5,0,0,0,7.2,9,6,9,4,0,0,1,0,0,0,7.04,1.70
Randy Vasquez,SD,25,2,2,0,0,7.2,11,5,5,3,2,0,1,0,0,0,5.87,1.83
Cole Winn,TEX,24,6,0,0,0,7.1,4,4,7,1,0,0,1,0,0,0,4.91,0.68
Yerry Rodriguez,TEX,26,7,0,0,0,7.0,10,7,5,6,3,0,0,0,0,0,9.00,2.29
George Soriano,MIA,25,8,0,0,0,7.0,7,8,8,6,2,0,1,0,1,2,10.29,1.86
Brooks Raley,NYM,35,8,0,0,0,7.0,2,0,9,3,0,1,0,0,0,4,0.00,0.71
Justin Wilson,CIN,36,11,0,0,0,7.0,6,3,9,2,1,1,0,0,0,2,3.86,1.14
Wade Miley,MIL,37,2,2,0,0,7.0,6,5,2,4,1,0,1,0,0,0,6.43,1.43
Michael Tonkin,NYM,34,5,0,0,0,7.0,8,4,6,2,1,1,2,0,0,0,5.14,1.43
Nick Ramirez,LAD,34,5,0,0,0,7.0,4,1,2,3,0,0,0,0,0,0,1.29,1.00
John Means,BAL,31,1,1,0,0,7.0,3,0,8,0,0,1,0,0,0,0,0.00,0.43
Pete Fairbanks,TB,30,8,0,0,0,7.0,8,7,10,8,0,0,2,3,1,0,9.00,2.29
Jordan Romano,TOR,31,7,0,0,0,6.2,6,3,6,2,1,0,0,4,0,0,4.05,1.20
Pedro Avila,CLE,27,3,0,0,0,6.2,6,3,7,0,1,0,0,0,0,0,4.05,0.90
Jeremiah Estrada,SD,25,4,0,0,0,6.2,2,0,6,3,0,0,0,0,0,0,0.00,0.75
Kyle Hurt,LAD,25,3,1,0,0,6.2,8,1,3,1,0,0,1,0,0,0,1.35,1.35
Christian Scott,NYM,24,1,1,0,0,6.2,5,1,6,1,0,0,0,0,0,0,1.35,0.90
Dedniel Nunez,NYM,27,4,0,0,0,6.1,6,3,10,2,1,0,0,0,0,0,4.26,1.26
Isaiah Campbell,BOS,26,7,0,0,0,6.1,11,9,5,2,2,0,1,0,1,2,12.79,2.05
Luis Frias,ARI,25,7,0,0,0,6.1,11,7,7,4,1,0,1,0,1,0,9.95,2.37
Brad Keller,CWS,28,2,1,0,0,6.1,5,3,6,4,0,0,1,0,0,0,4.26,1.42
Nick Burdi,NYY,31,7,0,0,0,6.1,2,0,8,5,0,1,0,0,0,2,0.00,1.11
Caleb Thielbar,MIN,37,9,0,0,0,6.1,10,5,7,3,1,1,1,2,0,2,7.11,2.05
Taijuan Walker,PHI,31,1,1,0,0,6.1,8,6,4,2,2,1,0,0,0,0,8.53,1.58
Kent Emanuel,MIA,31,2,0,0,0,6.0,9,7,4,3,3,0,0,0,0,0,10.50,2.00
Jacob Barnes,WSH,34,6,0,0,0,6.0,6,1,2,0,0,2,0,0,0,0,1.50,1.00
Cody Poteet,NYY,29,1,1,0,0,6.0,6,1,4,0,1,1,0,0,0,0,1.50,1.00
Jose Cuas,CHC,29,5,0,0,0,6.0,10,8,6,2,1,0,0,0,0,0,12.00,2.00
J.B. Bukauskas,MIL,27,6,0,0,0,6.0,3,1,6,1,1,0,0,0,0,1,1.50,0.67
Yohan Ramirez,BAL,28,5,0,0,0,6.0,3,4,6,2,0,0,0,0,0,0,6.00,0.83
Anthony Maldonado,MIA,26,4,1,0,0,6.0,6,0,4,1,0,0,0,1,0,0,0.00,1.17
Zack Kelly,BOS,29,4,0,0,0,5.2,5,2,6,0,0,0,1,0,0,0,3.18,0.88
Yohan Ramirez,NYM,28,3,0,0,0,5.1,9,7,6,4,1,0,1,0,1,0,11.81,2.44
Mitch White,SF,29,3,0,0,0,5.1,8,7,1,5,1,0,0,0,0,0,11.81,2.44
Josh Sborz,TEX,30,6,0,0,0,5.1,6,1,5,1,0,1,0,0,0,3,1.69,1.31
Sean Reid-Foley,NYM,28,6,0,0,0,5.1,0,0,10,4,0,1,0,0,0,0,0.00,0.75
Erik Swanson,TOR,30,7,0,0,0,5.0,12,10,3,2,3,0,2,0,1,4,18.00,2.80
Wes Parsons,TOR,31,2,0,0,0,5.0,6,6,2,2,2,0,0,0,0,0,10.80,1.60
Matt Andriese,MIA,34,3,0,0,0,5.0,5,3,6,0,2,0,0,0,0,0,5.40,1.00
Tyler Duffey,KC,33,3,0,0,0,5.0,3,1,7,2,0,0,0,0,0,0,1.80,1.00
Luke Jackson,SF,32,6,0,0,0,5.0,8,3,3,2,0,0,1,0,2,0,5.40,2.00
Jordan Lyles,KC,33,5,0,0,0,5.0,2,0,3,2,0,0,0,0,0,0,0.00,0.80
Guillermo Zuniga,LAA,25,4,0,0,0,5.0,4,4,2,4,1,0,0,1,0,0,7.20,1.60
Allan Winans,ATL,28,1,1,0,0,5.0,8,6,1,2,1,0,1,0,0,0,10.80,2.00
Xzavion Curry,CLE,25,1,1,0,0,5.0,2,0,3,1,0,0,0,0,0,0,0.00,0.60
Jose Hernandez,PIT,26,6,0,0,0,4.2,4,1,4,3,0,1,1,1,0,1,1.93,1.50
Darren McCaughan,MIA,28,1,0,0,0,4.2,9,8,2,3,3,0,0,0,0,0,15.43,2.57
Kyle Bradish,BAL,27,1,1,0,0,4.2,4,1,5,2,0,0,0,0,0,0,1.93,1.29
Michael Tonkin,NYY,34,3,0,0,0,4.2,4,0,3,0,0,0,1,0,1,0,0.00,0.86
Paolo Espino,TOR,37,2,0,0,0,4.2,8,4,2,2,2,0,0,0,0,0,7.71,2.14
Justin Steele,CHC,28,1,1,0,0,4.2,3,1,6,1,0,0,0,0,0,0,1.93,0.86
Daulton Jefferies,SF,28,2,1,0,0,4.2,14,9,4,2,2,0,2,0,0,0,17.36,3.43
Julian Merryweather,CHC,32,4,0,0,0,4.2,4,1,6,2,0,0,0,0,0,1,1.93,1.29
Dinelson Lamet,LAD,31,3,0,0,0,4.1,2,1,3,2,1,0,0,1,0,0,2.08,0.92
Austin Pruitt,TEX,34,4,0,0,0,4.1,8,6,1,3,3,0,0,0,0,1,12.46,2.54
Jonathan Hernandez,TEX,27,3,0,0,0,4.1,3,1,1,1,0,1,0,0,0,0,2.08,0.92
Jonathan Heasley,BAL,27,3,0,0,0,4.1,8,6,4,1,2,0,1,0,0,0,12.46,2.08
Tylor Megill,NYM,28,1,1,0,0,4.0,3,1,4,3,0,0,1,0,0,0,2.25,1.50
Jacob Lopez,TB,26,2,0,0,0,4.0,3,5,1,3,1,0,0,0,0,0,11.25,1.50
Peter Strzelecki,CLE,29,3,0,0,0,4.0,4,0,2,0,0,0,0,0,0,0,0.00,1.00
Nick Robertson,STL,25,2,0,0,0,4.0,4,0,4,1,0,0,0,0,0,0,0.00,1.25
Carson Spiers,CIN,26,1,0,0,0,4.0,7,3,1,3,0,0,0,0,0,0,6.75,2.50
Joan Adon,WSH,25,1,1,0,0,4.0,3,1,2,3,0,0,0,0,0,0,2.25,1.50
Vladimir Gutierrez,MIA,28,1,0,0,0,4.0,3,3,4,2,1,0,0,0,1,0,6.75,1.25
Daniel Duarte,MIN,27,2,0,0,0,4.0,2,1,3,1,1,1,0,0,0,0,2.25,0.75
Jonathan Loaisiga,NYY,29,3,0,0,0,4.0,7,0,3,1,0,1,0,0,1,0,0.00,2.00
Wes Parsons,CLE,31,2,0,0,0,4.0,4,0,5,0,0,0,0,0,0,0,0.00,1.00
Sam Moll,CIN,32,4,0,0,0,4.0,2,0,4,1,0,0,0,0,0,0,0.00,0.75
Nabil Crismatt,LAD,29,3,0,0,0,4.0,3,1,3,0,1,1,1,0,0,0,2.25,0.75
Naoyuki Uwasawa,BOS,30,2,0,0,0,4.0,2,1,3,2,0,0,0,0,0,0,2.25,1.00
Tyler Jay,NYM,30,2,0,0,0,4.0,5,1,1,1,0,0,0,0,0,0,2.25,1.50
Parker Mushinski,HOU,28,3,0,0,0,4.0,6,5,2,3,0,0,0,0,0,1,11.25,2.25
J.P. Feyereisen,LAD,31,4,0,0,0,4.0,6,6,4,4,1,0,1,0,0,0,13.50,2.50
Bryan Shaw,CWS,36,5,0,0,0,4.0,8,4,4,4,1,0,1,0,1,0,9.00,3.00
Jakob Junis,MIL,31,1,1,0,0,4.0,3,1,4,1,0,0,0,0,0,0,2.25,1.00
Cole Sulser,NYM,34,3,0,0,0,3.2,5,4,4,3,0,0,0,0,0,0,9.82,2.18
Blake Walston,ARI,22,1,0,0,0,3.2,3,2,5,4,0,0,0,0,0,0,4.91,1.91
Jack Leiter,TEX,24,1,1,0,0,3.2,8,7,3,3,0,0,0,0,0,0,17.18,3.00
Aaron Ashby,MIL,25,1,1,0,0,3.2,6,4,2,2,1,0,1,0,0,0,9.82,2.18
Brett de Geus,SEA,26,4,0,0,0,3.1,4,1,2,0,0,0,0,0,0,0,2.70,1.20
Brendon Little,TOR,27,3,0,0,0,3.1,5,4,4,1,0,0,0,0,0,0,10.80,1.80
Richard Lovelady,CHC,28,3,0,0,0,3.1,2,0,4,1,0,0,0,0,1,1,0.00,0.90
Emmanuel Ramirez,MIA,29,3,0,0,0,3.1,1,0,3,0,0,0,0,0,0,0,0.00,0.30
Ryan Borucki,PIT,30,4,0,0,0,3.1,4,2,6,0,0,0,0,0,0,2,5.40,1.20
Nick Nelson,PHI,28,3,0,0,0,3.1,6,2,5,0,0,0,0,0,0,0,5.40,1.80
Brock Burke,TEX,27,5,0,0,0,3.0,9,5,5,1,1,0,0,0,0,0,15.00,3.33
Cionel Perez,BAL,28,4,0,0,0,3.0,4,2,2,0,0,0,0,0,0,2,6.00,1.33
Janson Junk,MIL,28,2,0,0,0,3.0,10,4,1,0,1,0,0,0,0,0,12.00,3.33
Noah Davis,COL,27,1,0,0,0,3.0,5,3,2,0,1,0,0,0,0,0,9.00,1.67
Collin Snider,SEA,28,3,0,0,0,3.0,3,2,2,1,0,0,0,0,0,0,6.00,1.33
Danny Young,NYM,29,2,0,0,0,3.0,2,0,3,3,0,1,0,0,0,0,0.00,1.67
Jhoan Duran,MIN,26,3,0,0,0,3.0,2,0,5,0,0,0,0,2,0,1,0.00,0.67
Jake Cousins,NYY,29,2,0,0,0,3.0,4,1,4,3,1,1,0,0,0,0,3.00,2.33
Josh Walker,NYM,29,3,0,0,0,3.0,1,0,3,1,0,0,0,0,0,0,0.00,0.67
Colin Selby,KC,26,2,0,0,0,3.0,2,2,0,2,0,0,0,0,0,0,6.00,1.33
Grant Anderson,TEX,26,4,0,0,0,3.0,6,4,5,0,1,0,0,0,0,0,12.00,2.00
Gus Varland,LAD,27,4,0,0,0,3.0,3,1,1,3,0,0,0,0,0,0,3.00,2.00
Kyle Nicolas,PIT,25,3,0,0,0,3.0,2,0,5,2,0,0,0,0,0,0,0.00,1.33
Grant Hartwig,NYM,26,2,0,0,0,3.0,1,2,1,2,1,0,0,0,0,0,6.00,1.00
Brandon Hughes,ARI,28,3,1,0,0,2.2,6,4,4,1,1,0,0,0,0,0,13.50,2.63
Jonathan Bowlan,KC,27,1,1,0,0,2.2,6,4,3,3,3,0,1,0,0,0,13.50,3.38
Amir Garrett,LAA,32,3,0,0,0,2.2,2,0,5,2,0,0,0,0,0,0,0.00,1.50
Julio Teheran,NYM,33,1,1,0,0,2.2,6,4,3,2,1,0,0,0,0,0,13.50,3.00
Manuel Rodriguez,TB,27,2,0,0,0,2.1,5,2,1,0,0,0,0,0,0,0,7.71,2.14
Justin Anderson,CWS,31,2,0,0,0,2.1,2,2,1,3,0,0,0,0,0,0,7.71,2.14
John King,STL,29,2,0,0,0,2.1,3,1,4,0,1,0,1,0,1,0,3.86,1.29
Randy Rodriguez,SF,24,1,0,0,0,2.1,2,1,2,2,0,0,0,0,0,0,3.86,1.71
Kyle Tyler,MIA,27,1,0,0,0,2.0,1,1,1,0,0,0,0,0,0,0,4.50,0.50
Ronny Henriquez,MIN,23,1,0,0,0,2.0,2,0,2,1,0,0,0,0,0,0,0.00,1.50
Anthony Veneziano,KC,26,2,0,0,0,2.0,4,1,2,1,0,0,0,0,0,0,4.50,2.50
Ricky Vanasco,LAD,25,1,0,0,0,2.0,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Zac Kristofak,LAA,26,1,0,0,0,2.0,3,0,2,2,0,0,0,0,0,0,0.00,2.50
Joel Kuhnel,HOU,29,1,0,0,0,2.0,4,4,1,0,0,0,0,0,0,0,18.00,2.00
Casey Legumina,CIN,26,1,0,0,0,2.0,2,2,1,1,1,0,0,0,0,0,9.00,1.50
Connor Brogdon,PHI,29,3,0,0,0,2.0,3,6,3,6,2,0,1,0,0,0,27.00,4.50
Tejay Antone,CIN,30,4,0,0,0,2.0,2,1,2,4,0,0,0,0,0,0,4.50,3.00
Jose Ruiz,PHI,29,1,0,0,0,2.0,2,0,1,2,0,0,0,0,0,0,0.00,2.00
Michael Tonkin,MIN,34,1,0,0,0,2.0,2,2,5,2,0,0,0,0,0,0,9.00,2.00
Matt Bowman,ARI,32,1,0,0,0,1.2,2,1,0,0,1,0,0,0,0,0,5.40,1.20
Zach Pop,TOR,27,2,0,0,0,1.2,0,0,1,0,0,0,0,0,0,0,0.00,0.00
Joe Jacques,BOS,29,1,0,0,0,1.2,3,1,2,0,0,0,0,0,0,0,5.40,1.80
Kyle Leahy,STL,26,1,0,0,0,1.1,2,2,0,0,0,0,1,0,0,0,13.50,1.50
Jackson Stephens,ATL,29,1,0,0,0,1.1,4,1,0,0,1,0,0,0,0,0,6.75,3.00
Miguel Diaz,HOU,29,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Connor Brogdon,LAD,29,1,0,0,0,1.0,2,2,0,0,2,0,0,0,0,0,18.00,2.00
Josh Maciejewski,NYY,28,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Andrew Saalfrank,ARI,26,2,0,0,0,1.0,2,4,0,4,0,0,0,0,0,0,36.00,6.00
Clayton Beeter,NYY,25,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,0.00,1.00
Will Klein,KC,24,1,0,0,0,1.0,0,0,2,0,0,0,0,0,0,0,0.00,0.00
Dylan Coleman,HOU,27,1,0,0,0,1.0,0,0,1,1,0,0,0,0,0,0,0.00,1.00
Riley O'Brien,STL,29,1,0,0,0,1.0,1,1,2,2,0,0,0,0,0,0,9.00,3.00
Forrest Whitley,HOU,26,1,0,0,0,0.2,1,0,0,1,0,0,0,0,0,0,0.00,3.00
Logan Gillaspie,SD,27,1,0,0,0,0.2,0,0,2,0,0,0,0,0,0,0,0.00,0.00
Luis Ortiz,PHI,28,1,0,0,0,0.2,3,2,0,0,0,0,0,0,0,0,27.00,4.50
Prelander Berroa,CWS,24,1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.00,0.00
Blair Henley,HOU,26,1,1,0,0,0.1,4,5,0,3,0,0,0,0,0,0,135.00,21.00
